categorie,Marque et annee,Prix,Adresse,Kilometrage,Boite_vitesse,Carburant,Reference
motos,Piaggio Beverly 2015,1 200 000FCFA,"Dieuppeul Derklé,Dakar",32000 km,Non spécifié,Non spécifié,136011
motos,Piaggio Gilera 2019,790 000FCFA,"Hann Maristes,Dakar",Non spécifié,Non spécifié,Non spécifié,135563
motos,Vespa LML 2009,800 000FCFA,"Patte d'oie,Dakar",1 km,Non spécifié,Non spécifié,135955
motos,KTM RC 2008,550 000FCFA,"Ouakam,Dakar",8000 km,Non spécifié,Non spécifié,135868
motos,Honda X-ADV 2019,3 800 000FCFA,"Yoff,Dakar",1 km,Non spécifié,Non spécifié,135934
motos,Honda XRV Africa Twin 2020,5 500 000FCFA,"Plateau,Dakar",1 km,Non spécifié,Non spécifié,135927
motos,Yamaha X-Max 2010,520 000FCFA,"Médina,Dakar",Non spécifié,Non spécifié,Non spécifié,135882
motos,Piaggio Free 2008,350 000FCFA,"Plateau,Dakar",25000 km,Non spécifié,Non spécifié,135853
motos,Honda XRV Africa Twin 2018,3 250 000FCFA,"Sicap Foire,Dakar",1 km,Non spécifié,Non spécifié,135830
motos,Vespa LX 2017,325 000FCFA,"Pikine Nord,Dakar",1 km,Non spécifié,Non spécifié,135831
motos,BMW GS 2014,2 700 000FCFA,"Hann Bel-Air,Dakar",68000 km,Non spécifié,Non spécifié,135177
motos,Yamaha XT 600 2016,1 400 000FCFA,"Ouakam,Dakar",1 km,Non spécifié,Non spécifié,135807
motos,Honda X-ADV 2019,3 800 000FCFA,"Yoff,Dakar",1 km,Non spécifié,Non spécifié,135755
motos,Yamaha X-Max 2014,650 000FCFA,"Fatick,Fatick",32000 km,Non spécifié,Non spécifié,135748
motos,Honda SH 2016,850 000FCFA,"Mermoz Sacré-Coeur,Dakar",Non spécifié,Non spécifié,Non spécifié,135736
motos,Yamaha FZ 2011,700 000FCFA,"Plateau,Dakar",40000 km,Non spécifié,Non spécifié,135729
motos,Honda SH 2012,350 000FCFA,"Mamelles,Dakar",Non spécifié,Non spécifié,Non spécifié,135681
motos,Piaggio Liberty 2016,190 000FCFA,"Liberté 6,Dakar",Non spécifié,Non spécifié,Non spécifié,135649
motos,Malaguty XSM 2018,380 000FCFA,"Point-E,Dakar",Non spécifié,Non spécifié,Non spécifié,135637
motos,Kymco kymco-like 2008,450 000FCFA,"Pikine Ouest,Dakar",53761 km,Non spécifié,Non spécifié,135633
motos,Piaggio Liberty 2012,450 000FCFA,"Malika,Dakar",Non spécifié,Non spécifié,Non spécifié,135632
motos,Honda CBR 2006,1 600 000FCFA,"Dieuppeul Derklé,Dakar",15000 km,Non spécifié,Non spécifié,135630
motos,Dirt bike 145cc 2018,500 000FCFA,"Saly Portudal,Thiès",Non spécifié,Non spécifié,Non spécifié,135626
motos,Yamaha Niken 2021,5 000 000FCFA,"Almadies,Dakar",3000 km,Non spécifié,Non spécifié,135622
motos,Yamaha X-City 2012,800 000FCFA,"Mbao,Dakar",Non spécifié,Non spécifié,Non spécifié,135616
motos,Honda SH 2008,680 000FCFA,"Diamaguene Sicap Mbao,Dakar",65437 km,Non spécifié,Non spécifié,135589
motos,CF Moto TERRALANDER 625 2010,3 500 000FCFA,"Rufisque,Dakar",Non spécifié,Non spécifié,Non spécifié,135586
motos,Honda AFS Wave 2010,380 000FCFA,"Sicap Liberté,Dakar",Non spécifié,Non spécifié,Non spécifié,135574
motos,Suzuki Address 2010,700 000FCFA,"Mermoz Sacré-Coeur,Dakar",180 km,Non spécifié,Non spécifié,135564
motos,BMW GS 2013,2 400 000FCFA,"Hann Maristes,Dakar",60000 km,Non spécifié,Non spécifié,135315
motos,Piaggio Zip 2018,200 000FCFA,"Gueule-Tapée, Fass, Colobane,Dakar",Non spécifié,Non spécifié,Non spécifié,135525
motos,Honda CB Hornet 2014,1 200 000FCFA,"Dalifort,Dakar",Non spécifié,Non spécifié,Non spécifié,135508
